Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	Number	Freq	Is Cancer Gene (source: OncoKB)
TMEM94		17q25.1	AMP	24	1144	2.1%	No
DCBLD1		6q22.1	AMP	1	1144	<0.1%	No
TMOD1		9q22.33	AMP	2	1144	0.2%	No
RUSC1		1q22	AMP	84	1144	7.3%	No
PARTICL		2p11.2	AMP	8	1144	0.7%	No
GRK3		22q12.1	AMP	9	1144	0.8%	No
ECHS1		10q26.3	HOMDEL	11	1144	1.0%	No
LINC01289		8q12.3	HOMDEL	1	1144	<0.1%	No
HTN1		4q13.3	HOMDEL	1	1144	<0.1%	No
PURB		7p13	AMP	20	1144	1.7%	No
ATOH7		10q21.3	AMP	3	1144	0.3%	No
CCDC40		17q25.3	AMP	21	1144	1.8%	No
IDH3A		15q25.1	AMP	7	1144	0.6%	No
PPP1R3F		Xp11.23	HOMDEL	8	1144	0.7%	No
NOL8		9q22.31	AMP	2	1144	0.2%	No
KRTAP3-2		17q21.2	HOMDEL	2	1144	0.2%	No
CCBE1		18q21.32	AMP	2	1144	0.2%	No
SPTBN5		15q21	HOMDEL	15	1144	1.3%	No
AKR7A2		1p36.13	AMP	2	1144	0.2%	No
GRK2		11q13.2	AMP	16	1144	1.4%	No
NABP1		2q32.3	HOMDEL	2	1144	0.2%	No
OR1L6		9q33.2	HOMDEL	4	1144	0.3%	No
ZNF716		7p11.2	AMP	27	1144	2.4%	No
F8A2		Xq28	HOMDEL	7	1144	0.6%	No
TDRD6		6p12.3	AMP	22	1144	1.9%	No
MYF5		12q21.31	AMP	4	1144	0.3%	No
SOHLH2		13q13.3	AMP	1	1144	<0.1%	No
IFIT1B		10q23.31	HOMDEL	10	1144	0.9%	No
ST7-OT3		7q31.3	HOMDEL	4	1144	0.3%	No
ALDH9A1		1q24.1	HOMDEL	1	1144	<0.1%	No
C16ORF90		16p13.3	AMP	5	1144	0.4%	No
CCNP		19q13.2	AMP	43	1144	3.8%	No
SMIM12		1p34.3	HOMDEL	2	1144	0.2%	No
CCDC39		3q26.33	HOMDEL	3	1144	0.3%	No
TRAPPC2L		16q24.3	HOMDEL	12	1144	1.0%	No
SPO11		20q13.31	AMP	25	1144	2.2%	No
MEX3C		18q21.2	AMP	1	1144	<0.1%	No
PMM1		22q13.2	HOMDEL	1	1144	<0.1%	No
EPC2		2q23.1	AMP	5	1144	0.4%	No
MED15		22q11.21	AMP	17	1144	1.5%	No
BRF1		14q32.33	HOMDEL	6	1144	0.5%	No
ADSL		22q13.1	AMP	4	1144	0.3%	No
REXO1L2P		8q21.2	AMP	39	1144	3.4%	No
NXPE1		11q23.2	AMP	3	1144	0.3%	No
CORO7-PAM16		16p13.3	HOMDEL	4	1144	0.3%	No
HS3ST6		16p13.3	HOMDEL	2	1144	0.2%	No
SETD4		21q22.12	HOMDEL	6	1144	0.5%	Yes
QSOX1		1q25.2	HOMDEL	1	1144	<0.1%	No
NCKAP1L		12q13.13-q13.2	HOMDEL	1	1144	<0.1%	No
ADCY10		1q24.2	HOMDEL	1	1144	<0.1%	No
ARFGAP2		11p11.2	HOMDEL	1	1144	<0.1%	No
ACSF3		16q24.3	AMP	1	1144	<0.1%	No
CWF19L1		10q24.31	AMP	2	1144	0.2%	No
ABCA13		7p12.3	HOMDEL	4	1144	0.3%	No
EIF6		20q11.22	AMP	23	1144	2.0%	No
COL8A1		3q12.1	AMP	34	1144	3.0%	No
ZDHHC12		9q34.11	AMP	3	1144	0.3%	No
FAM89B		11q13.1	AMP	1	1144	<0.1%	No
PCF11		11q14.1	AMP	14	1144	1.2%	No
TRIM56		7q22.1	HOMDEL	1	1144	<0.1%	No
PRPF31		19q13.42	AMP	11	1144	1.0%	No
CCDC168		13q33.1	AMP	7	1144	0.6%	No
HTN3		4q13.3	HOMDEL	1	1144	<0.1%	No
TUBB8		10p15.3	HOMDEL	15	1144	1.3%	No
ADSS2		1q44	AMP	47	1144	4.1%	No
GLCE		15q23	HOMDEL	1	1144	<0.1%	No
PRDM6		5q23.2	HOMDEL	8	1144	0.7%	No
NR5A2		1q32.1	AMP	33	1144	2.9%	No
UBE4B		1p36.22	HOMDEL	5	1144	0.4%	No
TRIM53AP		11q14.3	HOMDEL	3	1144	0.3%	No
RHOD		11q13.2	AMP	15	1144	1.3%	No
PROZ		13q34	HOMDEL	15	1144	1.3%	No
GGN		19q13.2	AMP	52	1144	4.5%	No
COL8A2		1p34.3	AMP	6	1144	0.5%	No
C1ORF198		1q42.2	AMP	39	1144	3.4%	No
CDKN2B		9p21.3	AMP	5	1144	0.4%	Yes
ITGB4		17q25.1	AMP	23	1144	2.0%	No
ST6GAL2		2q12.3	AMP	7	1144	0.6%	No
WAC		10p12.1	AMP	10	1144	0.9%	No
IQCJ		3q25.32	HOMDEL	1	1144	<0.1%	No
CENPI		Xq22.1	AMP	7	1144	0.6%	No
LIPK		10q23.31	AMP	1	1144	<0.1%	No
CPSF2		14q32.12	AMP	10	1144	0.9%	No
CLEC7A		12p13.2	HOMDEL	9	1144	0.8%	No
HORMAD2		22q12.2	HOMDEL	1	1144	<0.1%	No
ZNF778		16q24.3	AMP	1	1144	<0.1%	No
PIAS4		19p13.3	AMP	1	1144	<0.1%	No
CCDC66		3p14.3	HOMDEL	7	1144	0.6%	No
IL10RA		11q23.3	HOMDEL	8	1144	0.7%	No
CNTNAP3		9p12	AMP	7	1144	0.6%	No
ITGB3		17q21.32	AMP	4	1144	0.3%	No
HOXC11		12q13.13	HOMDEL	1	1144	<0.1%	Yes
GDE1		16p12.3	HOMDEL	1	1144	<0.1%	No
C1QTNF1-AS1		17q25.3	HOMDEL	1	1144	<0.1%	No
ZNF503-AS1		10q22.2	AMP	5	1144	0.4%	No
COL6A3		2q37.3	AMP	4	1144	0.3%	No
LINC00189		21q21.3	AMP	4	1144	0.3%	No
RAB4B-EGLN2		19q13.2	HOMDEL	3	1144	0.3%	No
PRND		20p13	AMP	9	1144	0.8%	No
P4HA3		11q13.4	HOMDEL	2	1144	0.2%	No
AMZ2		17q24.2	AMP	20	1144	1.7%	No
RAD51		15q15.1	HOMDEL	14	1144	1.2%	Yes
H2BC14		6p22.1	HOMDEL	2	1144	0.2%	No
CC2D2B		10q24.1	AMP	1	1144	<0.1%	No
ATP2A3		17p13.2	HOMDEL	11	1144	1.0%	No
MRPS36		5q13.2	HOMDEL	9	1144	0.8%	No
FSHR		2p16.3	AMP	14	1144	1.2%	No
RPS4X		Xq13.1	AMP	4	1144	0.3%	No
SPPL2A		15q21.2	AMP	3	1144	0.3%	No
SLC39A2		14q11.2	AMP	17	1144	1.5%	No
MRPS24		7p13	HOMDEL	3	1144	0.3%	No
GSAP		7q11.23	HOMDEL	1	1144	<0.1%	No
MRGPRE		11p15.4	HOMDEL	6	1144	0.5%	No
CHD8		14q11.2	AMP	15	1144	1.3%	No
AASS		7q31.32	HOMDEL	4	1144	0.3%	No
NRARP		9q34.3	HOMDEL	4	1144	0.3%	No
ZNF594		17p13.2	AMP	1	1144	<0.1%	No
ZNF394		7q22.1	HOMDEL	1	1144	<0.1%	No
UROS		10q26.2	AMP	4	1144	0.3%	No
KCTD15		19q13.11	HOMDEL	1	1144	<0.1%	No
SPG21		15q22.31	AMP	1	1144	<0.1%	No
ZNF410		14q24.3	HOMDEL	3	1144	0.3%	No
ANKRD20A4P		9q13	HOMDEL	8	1144	0.7%	No
TGDS		13q32.1	HOMDEL	7	1144	0.6%	No
JAK2		9p24.1	HOMDEL	27	1144	2.4%	Yes
LINC02740		11p12	AMP	4	1144	0.3%	No
SLC35E1		19p13.11	AMP	6	1144	0.5%	No
TUBB1		20q13.32	AMP	24	1144	2.1%	No
BBS2		16q13	HOMDEL	4	1144	0.3%	No
DUS2		16q22.1	AMP	5	1144	0.4%	No
COL6A1		21q22.3	AMP	10	1144	0.9%	No
TOX3		16q12.1	AMP	8	1144	0.7%	No
VWA2		10q25.3	AMP	4	1144	0.3%	No
GBP7		1p22.2	HOMDEL	3	1144	0.3%	No
CADPS		3p14.2	HOMDEL	8	1144	0.7%	No
UBE2W		8q21.11	AMP	37	1144	3.2%	No
CLDN2		Xq22.3	HOMDEL	3	1144	0.3%	No
RPUSD4		11q24.2	AMP	6	1144	0.5%	No
USF1		1q23.3	AMP	80	1144	7.0%	No
LINC00943		12q24.32	AMP	1	1144	<0.1%	No
BRD7P3		6q22.31	AMP	1	1144	<0.1%	No
FOXL3-OT1		7p22.3	AMP	35	1144	3.1%	No
RPS5		19q13.43	AMP	12	1144	1.0%	No
KLB		4p14	HOMDEL	2	1144	0.2%	No
CAV3		3p25.3	HOMDEL	5	1144	0.4%	No
CLCNKB		1p36.13	HOMDEL	4	1144	0.3%	No
COL6A2		21q22.3	AMP	10	1144	0.9%	No
CCNJ		10q24.1	HOMDEL	4	1144	0.3%	No
ARAF		Xp11.3	HOMDEL	8	1144	0.7%	Yes
PPP1R1A		12q13.2	HOMDEL	1	1144	<0.1%	No
MCOLN3		1p22.3	AMP	7	1144	0.6%	No
DONSON		21q22.11	AMP	4	1144	0.3%	No
OR51F1		11p15.4	HOMDEL	4	1144	0.3%	No
APCDD1L-DT		20q13.32	AMP	26	1144	2.3%	No
GJA9		1p34.3	AMP	14	1144	1.2%	No
CCDC154		16p13.3	AMP	6	1144	0.5%	No
TSPEAR		21q22.3	AMP	4	1144	0.3%	No
USF2		19q13.12	AMP	58	1144	5.1%	No
ALPL		1p36.12	HOMDEL	3	1144	0.3%	No
FAM221B		9p13.3	HOMDEL	2	1144	0.2%	No
SMLR1		6q23.1	AMP	3	1144	0.3%	No
NXPE2		11q23.2	AMP	2	1144	0.2%	No
GPER1		7p22.3	HOMDEL	3	1144	0.3%	No
MASP1		3q27.3	HOMDEL	5	1144	0.4%	No
PHGR1		15q15.1	HOMDEL	15	1144	1.3%	No
TNFAIP8		5q23.1	HOMDEL	9	1144	0.8%	No
OR2T10		1q44	HOMDEL	2	1144	0.2%	No
RPS6		9p22.1	AMP	8	1144	0.7%	No
ARL17A		17q21.31	AMP	6	1144	0.5%	No
CENPP		9q22.31	AMP	2	1144	0.2%	No
C2ORF74-DT		2p15	HOMDEL	1	1144	<0.1%	No
OBSL1		2q35	HOMDEL	4	1144	0.3%	No
LRRC36		16q22.1	AMP	5	1144	0.4%	No
ADIG		20q11.23	HOMDEL	2	1144	0.2%	No
KLF11		2p25.1	HOMDEL	1	1144	<0.1%	No
CETN1		18p11.32	HOMDEL	3	1144	0.3%	No
AIFM2		10q22.1	AMP	3	1144	0.3%	No
LIPN		10q23.31	AMP	1	1144	<0.1%	No
C1QB		1p36.12	HOMDEL	3	1144	0.3%	No
HIVEP2		6q24.2	HOMDEL	3	1144	0.3%	No
TCTN3		10q24.1	AMP	1	1144	<0.1%	No
ACSL5		10q25.2	HOMDEL	2	1144	0.2%	No
CRADD		12q22	HOMDEL	2	1144	0.2%	No
CYGB		17q25.1	AMP	22	1144	1.9%	No
RPS6KA1		1p36.11	AMP	2	1144	0.2%	No
PLEKHH3		17q21.2	HOMDEL	2	1144	0.2%	No
COL5A2		2q32.2	AMP	12	1144	1.0%	No
OR6A2		11p15.4	AMP	1	1144	<0.1%	No
TMEM140		7q33	AMP	7	1144	0.6%	No
NRBF2		10q21.3	AMP	3	1144	0.3%	No
OTX2-AS1		14q22.3	AMP	7	1144	0.6%	No
PEX5		12p13.31	AMP	19	1144	1.7%	No
THAP3		1p36.31	HOMDEL	5	1144	0.4%	No
GNAS-AS1		20q13.32	AMP	26	1144	2.3%	No
PGBD4		15q14	HOMDEL	17	1144	1.5%	No
CCT8L2		22q11.1	HOMDEL	12	1144	1.0%	No
OR5B3		11q12.1	HOMDEL	3	1144	0.3%	No
CSRNP3		2q24.3	HOMDEL	1	1144	<0.1%	No
C1QTNF9B		13q12.12	HOMDEL	7	1144	0.6%	No
ZNF354A		5q35.3	HOMDEL	13	1144	1.1%	No
WHAMMP2		15q13.1	HOMDEL	17	1144	1.5%	No
MYL1		2q34	AMP	5	1144	0.4%	No
FECH		18q21.31	AMP	1	1144	<0.1%	No
INTS4P2		7q11.21	AMP	13	1144	1.1%	No
IL2RG		Xq13.1	HOMDEL	8	1144	0.7%	No
ANGPTL3		1p31.3	AMP	11	1144	1.0%	No
CYP2C8		10q23.33	HOMDEL	3	1144	0.3%	No
SESTD1		2q31.2	HOMDEL	1	1144	<0.1%	No
MUC17		7q22.1	HOMDEL	1	1144	<0.1%	No
BAG5		14q32.33	AMP	18	1144	1.6%	No
HROB		17q21.31	AMP	6	1144	0.5%	No
UBL4B		1p13.3	HOMDEL	11	1144	1.0%	No
ZNF469		16q24.2	AMP	2	1144	0.2%	No
NRDC		1p32.3	AMP	10	1144	0.9%	No
PDE6B		4p16.3	HOMDEL	11	1144	1.0%	No
ZMYM5		13q12.11	HOMDEL	15	1144	1.3%	No
DLL3		19q13.2	AMP	48	1144	4.2%	No
RASEF		9q21.32	AMP	1	1144	<0.1%	No
LINC01160		1p13.2	HOMDEL	13	1144	1.1%	No
CCDC175		14q23.1	AMP	4	1144	0.3%	No
NDUFAF4P1		15q21.1	HOMDEL	10	1144	0.9%	No
CDR1		Xq27.1	AMP	19	1144	1.7%	No
NRCAM		7q31.1	AMP	15	1144	1.3%	No
TMEM59		1p32.3	AMP	8	1144	0.7%	No
PCDH11X		Xq21.31	AMP	8	1144	0.7%	No
TMEM74B		20p13	HOMDEL	6	1144	0.5%	No
FAM167B		1p35.2	HOMDEL	1	1144	<0.1%	No
CYREN		7q33	AMP	7	1144	0.6%	No
NTNG2		9q34.13	AMP	2	1144	0.2%	No
NTRK2		9q21.33	HOMDEL	3	1144	0.3%	Yes
CCDC169		13q13.3	HOMDEL	3	1144	0.3%	No
UBXN8		8p12	HOMDEL	39	1144	3.4%	No
NMRK2		19p13.3	HOMDEL	5	1144	0.4%	No
CEP41		7q32.2	HOMDEL	1	1144	<0.1%	No
PPIL2		22q11.21	HOMDEL	3	1144	0.3%	No
SNORD115-22		15q11.2	HOMDEL	23	1144	2.0%	No
ZNF718		4p16.3	AMP	6	1144	0.5%	No
LINC02860		7p15.2	HOMDEL	4	1144	0.3%	No
WNT5B		12p13.33	AMP	29	1144	2.5%	No
C3ORF38		3p11.1	HOMDEL	14	1144	1.2%	No
TNRC6A		16p12.1	AMP	8	1144	0.7%	No
CPEB1		15q25.2	AMP	5	1144	0.4%	No
ZNF385D		3p24.3	HOMDEL	3	1144	0.3%	No
RP9P		7p14.3	HOMDEL	3	1144	0.3%	No
SNORD116-27		15q11.2	HOMDEL	23	1144	2.0%	No
TNRC18		7p22.1	AMP	30	1144	2.6%	No
OSCP1		1p34.3	AMP	6	1144	0.5%	No
GDAP1L1		20q13.12	AMP	11	1144	1.0%	No
ITIH2		10p14	AMP	5	1144	0.4%	No
TIMM8A		Xq22.1	HOMDEL	3	1144	0.3%	No
WDR11		10q26.12	HOMDEL	2	1144	0.2%	No
IPO7		11p15.4	HOMDEL	8	1144	0.7%	No
BBLN		9q34.11	AMP	3	1144	0.3%	No
FGFR1OP2		12p11.23	AMP	53	1144	4.6%	No
ZC3H6		2q14.1	AMP	5	1144	0.4%	No
DOK3		5q35.3	AMP	10	1144	0.9%	No
SPRY3		Xq28 and Yq12	HOMDEL	8	1144	0.7%	No
SNORD59A		12p13.3	HOMDEL	1	1144	<0.1%	No
DPH6-DT		15q14	AMP	3	1144	0.3%	No
TRIP4		15q22.31	HOMDEL	2	1144	0.2%	No
RPA1		17p13.3	HOMDEL	12	1144	1.0%	No
LGALS2		22q13.1	HOMDEL	2	1144	0.2%	No
RHPN1-AS1		8q24.3	AMP	61	1144	5.3%	No
PTAR1		9q21.12	AMP	2	1144	0.2%	No
CSTPP1		11p11.2	AMP	6	1144	0.5%	No
SP110		2q37.1	AMP	1	1144	<0.1%	No
DESI1		22q13.2	HOMDEL	1	1144	<0.1%	No
SULT2B1		19q13.33	HOMDEL	1	1144	<0.1%	No
PANX2		22q13.33	HOMDEL	20	1144	1.7%	No
LEO1		15q21.2	AMP	1	1144	<0.1%	No
EBP		Xp11.23	AMP	11	1144	1.0%	No
KIFBP		10q22.1	AMP	4	1144	0.3%	No
GOLGA2P6		10p11.23	AMP	10	1144	0.9%	No
LINC01205		3q13.13	HOMDEL	3	1144	0.3%	No
SLC25A25		9q34.11	HOMDEL	5	1144	0.4%	No
NEK7		1q31.3	HOMDEL	1	1144	<0.1%	No
PSMB8-AS1		6p21.32	AMP	12	1144	1.0%	No
SRA1		5q31.3	HOMDEL	5	1144	0.4%	No
AZIN1		8q22.3	AMP	44	1144	3.8%	No
PLIN5		19p13.3	HOMDEL	5	1144	0.4%	No
UBAC1		9q34.3	AMP	4	1144	0.3%	No
SPAG11B		8p23.1	HOMDEL	48	1144	4.2%	No
HPS4		22q12.1	AMP	6	1144	0.5%	No
LRFN4		11q13.2	AMP	14	1144	1.2%	No
TREML3P		6p21.1	HOMDEL	1	1144	<0.1%	No
KIRREL3		11q24.2	AMP	5	1144	0.4%	No
IFI35		17q21.31	AMP	3	1144	0.3%	No
SLC7A3		Xq13.1	AMP	3	1144	0.3%	No
ZNF487		10q11.21	HOMDEL	1	1144	<0.1%	No
CDKN3		14q22.2	AMP	10	1144	0.9%	No
ITGB8		7p21.1	AMP	33	1144	2.9%	No
OGFRP1		22q13.2	AMP	4	1144	0.3%	No
COL9A3		20q13.33	AMP	30	1144	2.6%	No
GLIPR2		9p13.3	HOMDEL	6	1144	0.5%	No
ZFHX3		16q22.2-q22.3	HOMDEL	5	1144	0.4%	Yes
HJV		1q21.1	HOMDEL	1	1144	<0.1%	No
SBNO2		19p13.3	HOMDEL	7	1144	0.6%	No
NRAS		1p13.2	AMP	3	1144	0.3%	Yes
KIAA0319L		1p34.3	AMP	6	1144	0.5%	No
CDIPT		16p11.2	AMP	7	1144	0.6%	No
FTH1P3		2p23.3	AMP	7	1144	0.6%	No
PNLIPRP2		10q25.3	HOMDEL	1	1144	<0.1%	No
PAGE1		Xp11.23	HOMDEL	8	1144	0.7%	No
CLINT1		5q33.3	HOMDEL	5	1144	0.4%	No
FDXR		17q25.1	AMP	21	1144	1.8%	No
LCAT		16q22.1	HOMDEL	1	1144	<0.1%	No
SLC31A2		9q32	HOMDEL	4	1144	0.3%	No
SNORD116-1		15q11.2	HOMDEL	23	1144	2.0%	No
LMLN		3q29	AMP	176	1144	15.4%	No
OBP2B		9q34.2	AMP	2	1144	0.2%	No
SLC2A8		9q33.3	AMP	3	1144	0.3%	No
TRAP1		16p13.3	HOMDEL	4	1144	0.3%	No
C1ORF116		1q32.1	AMP	45	1144	3.9%	No
RGMB-AS1		5q15	HOMDEL	7	1144	0.6%	No
FNDC1		6q25.3	AMP	1	1144	<0.1%	No
F2R		5q13.3	HOMDEL	9	1144	0.8%	No
MORN1		1p36.32	HOMDEL	6	1144	0.5%	No
PILRB		7q22.1	HOMDEL	1	1144	<0.1%	No
LIN37		19q13.12	HOMDEL	1	1144	<0.1%	No
COL4A1		13q34	HOMDEL	9	1144	0.8%	No
ITM2B		13q14.2	HOMDEL	13	1144	1.1%	No
ITGB7		12q13.13	AMP	8	1144	0.7%	No
DEFB114		6p12.3	HOMDEL	1	1144	<0.1%	No
NRAP		10q25.3	AMP	5	1144	0.4%	No
SYNPO2L		10q22.2	AMP	4	1144	0.3%	No
TESK2		1p34.1	AMP	10	1144	0.9%	No
WDR45B		17q25.3	HOMDEL	5	1144	0.4%	No
CLDN16		3q28	AMP	174	1144	15.2%	No
SDCBP2		20p13	HOMDEL	6	1144	0.5%	No
CMYA5		5q14.1	AMP	1	1144	<0.1%	No
CLIP1-AS1		12q24.31	HOMDEL	5	1144	0.4%	No
FTH1		11q12.3	AMP	3	1144	0.3%	No
C1ORF131		1q42.2	AMP	39	1144	3.4%	No
ZMYND8		20q13.12	HOMDEL	1	1144	<0.1%	No
HCN1		5p12	HOMDEL	1	1144	<0.1%	No
COL9A1		6q13	AMP	11	1144	1.0%	No
AADACL3		1p36.21	AMP	2	1144	0.2%	No
SCYL2		12q23.1	HOMDEL	3	1144	0.3%	No
CDKN2C		1p32.3	AMP	6	1144	0.5%	Yes
ITGB6		2q24.2	AMP	6	1144	0.5%	No
LINC01559		12p13.1	HOMDEL	10	1144	0.9%	No
SLC11A2		12q13.12	AMP	5	1144	0.4%	No
COQ8B		19q13.2	AMP	29	1144	2.5%	No
FOXI3		2p11.2	HOMDEL	2	1144	0.2%	No
CCDC28A-AS1		6q24.1	AMP	6	1144	0.5%	No
CD2BP2		16p11.2	AMP	12	1144	1.0%	No
LINC00908		18q23	HOMDEL	20	1144	1.7%	No
PNMA2		8p21.2	AMP	1	1144	<0.1%	No
NAB2		12q13.3	HOMDEL	1	1144	<0.1%	Yes
WNT3A		1q42.13	AMP	37	1144	3.2%	No
EAPP		14q13.1	HOMDEL	2	1144	0.2%	No
FDX1		11q22.3	AMP	6	1144	0.5%	No
PRR15		7p14.3	HOMDEL	4	1144	0.3%	No
SNORD66		3q27.1	HOMDEL	3	1144	0.3%	No
KRBA1		7q36.1	AMP	9	1144	0.8%	No
THNSL1		10p12.1	HOMDEL	1	1144	<0.1%	No
COL9A2		1p34.2	AMP	18	1144	1.6%	No
HFM1		1p22.2	AMP	6	1144	0.5%	No
CEP112		17q24.1	AMP	16	1144	1.4%	No
SOCS4		14q22.3	AMP	8	1144	0.7%	No
CDKN2D		19p13.2	AMP	4	1144	0.3%	No
ITGB5		3q21.2	AMP	37	1144	3.2%	No
CSF2RA		Xp22.32 and Yp11.3	HOMDEL	25	1144	2.2%	No
LINC00887		3q29	HOMDEL	8	1144	0.7%	No
GAREM1		18q12.1	AMP	20	1144	1.7%	No
FAM226B		Xq13.1	HOMDEL	7	1144	0.6%	No
PGM5-AS1		9q21.11	HOMDEL	8	1144	0.7%	No
TNF		6p21.33	AMP	12	1144	1.0%	No
DLGAP5		14q22.3	AMP	8	1144	0.7%	No
LINC01973		17q25.3	HOMDEL	1	1144	<0.1%	No
ABT1		6p22.2	HOMDEL	1	1144	<0.1%	No
NSUN5P1		7q11.23	AMP	11	1144	1.0%	No
EEF1E1		6p24.3	AMP	13	1144	1.1%	No
MROCKI		6q21	AMP	2	1144	0.2%	No
PXMP2		12q24.33	AMP	3	1144	0.3%	No
SNORD114-9		14q32.31	HOMDEL	4	1144	0.3%	No
RASSF8-AS1		12p12.1	HOMDEL	1	1144	<0.1%	No
C11ORF87		11q22.3	AMP	4	1144	0.3%	No
GIT2		12q24.11	HOMDEL	3	1144	0.3%	No
AKR7A2P1		1p13.2	AMP	1	1144	<0.1%	No
CCDC167		6p21.2	AMP	19	1144	1.7%	No
FZD6		8q22.3	AMP	45	1144	3.9%	No
ABHD4		14q11.2	HOMDEL	1	1144	<0.1%	No
MYH10		17p13.1	AMP	2	1144	0.2%	No
SNORD1C		17q25.1	HOMDEL	1	1144	<0.1%	No
C1QL3		10p13	HOMDEL	4	1144	0.3%	No
ZNF574		19q13.2	AMP	18	1144	1.6%	No
NPEPPS		17q21.32	AMP	4	1144	0.3%	No
SH3BGR		21q22.2	HOMDEL	5	1144	0.4%	No
ELK2AP		14q32.33	HOMDEL	6	1144	0.5%	No
TNNC2		20q13.12	AMP	12	1144	1.0%	No
KIAA0586		14q23.1	AMP	6	1144	0.5%	No
PEX2		8q21.13	AMP	41	1144	3.6%	No
IFI27		14q32.12	AMP	10	1144	0.9%	No
LINC02880		6q21	AMP	2	1144	0.2%	No
KLHDC7A		1p36.13	AMP	2	1144	0.2%	No
SLC26A1		4p16.3	HOMDEL	11	1144	1.0%	No
DHRS7C		17p13.1	AMP	3	1144	0.3%	No
DTD2		14q12	HOMDEL	2	1144	0.2%	No
TMEM236		10p12.33	HOMDEL	2	1144	0.2%	No
FCHO1		19p13.11	HOMDEL	2	1144	0.2%	No
COLCA1		11q23.1	AMP	8	1144	0.7%	No
KNDC1		10q26.3	HOMDEL	9	1144	0.8%	No
KDM1B		6p22.3	AMP	11	1144	1.0%	No
XCL2		1q24.2	HOMDEL	1	1144	<0.1%	No
XPO1		2p15	HOMDEL	1	1144	<0.1%	Yes
FZD4		11q14.2	AMP	15	1144	1.3%	No
F8A3		Xq28	HOMDEL	7	1144	0.6%	No
LINC01822		2p24.1	HOMDEL	2	1144	0.2%	No
MYH9		22q12.3	AMP	5	1144	0.4%	Yes
RPS15A		16p12.3	HOMDEL	2	1144	0.2%	No
PHF2P1		13q11	AMP	5	1144	0.4%	No
LSM3		3p25.1	HOMDEL	4	1144	0.3%	No
B3GNT2		2p15	AMP	32	1144	2.8%	No
ACBD4		17q21.31	HOMDEL	1	1144	<0.1%	No
NSA2		5q13.3	AMP	3	1144	0.3%	No
CREB3L2		7q33	AMP	9	1144	0.8%	Yes
TNFAIP1		17q11.2	AMP	19	1144	1.7%	No
IFI16		1q23.1	AMP	76	1144	6.6%	No
PXN		12q24.23	AMP	2	1144	0.2%	No
SPCS2		11q13.4	AMP	21	1144	1.8%	No
SLC18A1		8p21.3	HOMDEL	45	1144	3.9%	No
FZD8		10p11.21	AMP	10	1144	0.9%	No
MYH8		17p13.1	AMP	3	1144	0.3%	No
BSDC1		1p35.1	HOMDEL	1	1144	<0.1%	No
EPN2		17p11.2	HOMDEL	9	1144	0.8%	No
YAP1		11q22.1	AMP	12	1144	1.0%	Yes
B4GALNT3		12p13.33	AMP	34	1144	3.0%	No
FGF7P3		9p12	AMP	7	1144	0.6%	No
OR8U3		11q12.1	AMP	1	1144	<0.1%	No
MTSS1		8q24.13	AMP	64	1144	5.6%	No
SCAMP1		5q14.1	AMP	1	1144	<0.1%	No
TNFAIP2		14q32.32	AMP	16	1144	1.4%	No
C17ORF80		17q25.1	AMP	22	1144	1.9%	No
RAB32		6q24.3	HOMDEL	5	1144	0.4%	No
SBDS		7q11.21	HOMDEL	2	1144	0.2%	Yes
LINC00917		16q24.1	HOMDEL	13	1144	1.1%	No
ADAM20P1		14q24.2	HOMDEL	1	1144	<0.1%	No
AGAP7P		10q11.22	AMP	2	1144	0.2%	No
FZD7		2q33.1	AMP	16	1144	1.4%	No
EVI2A		17q11.2	HOMDEL	4	1144	0.3%	No
TMEM161A		19p13.11	AMP	6	1144	0.5%	No
DEFB113		6p12.3	HOMDEL	1	1144	<0.1%	No
MYH7		14q11.2	AMP	23	1144	2.0%	No
AKR7L		1p36.13	AMP	2	1144	0.2%	No
POM121L4P		22q11.2	AMP	17	1144	1.5%	No
PET100		19p13.2	HOMDEL	3	1144	0.3%	No
SPX		12p12.1	HOMDEL	6	1144	0.5%	No
CDKN2A		9p21.3	AMP	3	1144	0.3%	Yes
SPINK1		5q32	HOMDEL	6	1144	0.5%	No
S100PBP		1p35.1	AMP	5	1144	0.4%	No
MCM6		2q21.3	HOMDEL	1	1144	<0.1%	No
CFI		4q25	AMP	3	1144	0.3%	No
GFUS		8q24.3	HOMDEL	2	1144	0.2%	No
TNFAIP3		6q23.3	AMP	5	1144	0.4%	Yes
SPON1		11p15.2	AMP	14	1144	1.2%	No
GRM5P1		11p11.12	AMP	2	1144	0.2%	No
FGA		4q31.3	HOMDEL	10	1144	0.9%	No
VPS4B		18q21.33	AMP	4	1144	0.3%	No
ZGPAT		20q13.33	AMP	36	1144	3.1%	No
CREB3L4		1q21.3	AMP	87	1144	7.6%	No
RPAP3		12q13.11	HOMDEL	2	1144	0.2%	No
SERPINB11		18q21.33	AMP	4	1144	0.3%	No
MYH6		14q11.2	AMP	24	1144	2.1%	No
DFFB		1p36.32	HOMDEL	5	1144	0.4%	No
BEX3		Xq22.2	HOMDEL	3	1144	0.3%	No
AARS1		16q22.1	HOMDEL	2	1144	0.2%	No
PPIL6		6q21	AMP	6	1144	0.5%	No
SEMA6B		19p13.3	HOMDEL	5	1144	0.4%	No
MLN		6p21.31	HOMDEL	1	1144	<0.1%	No
